日期,本地时间,服务器时间,交易所时间,万得代码,原始代码,业务发生日(自然日), 委托号, 委托价格, 委托数量, 委托类别, 委托代码, 经纪商编码, 委托状态, 标志
20160913,135448058,135448058,130005000,832040.PT,832040,20160913,99996626,349000,3000,83(S),0( ),724200,49(1),32( )
20160913,135448058,135448058,112115000,832044.PT,832044,20160913,99996837,10000,10000,66(B),0( ),721700,49(1),32( )
20160913,135448058,135448058,95157000,832072.PT,832072,20160913,99998339,100000,10000,83(S),0( ),722400,49(1),32( )
20160913,135448058,135448058,111015000,832093.PT,832093,20160913,99996959,103000,140000,83(S),0( ),723000,49(1),32( )
20160913,135448058,135448058,131929000,832094.PT,832094,20160913,99996436,58000,10000,83(S),0( ),721700,49(1),32( )
20160913,135448058,135448058,133714000,832099.PT,832099,20160913,99996221,108000,8000,66(B),0( ),724300,49(1),32( )
20160913,135448058,135448058,130001000,832108.PT,832108,20160913,99996664,550000,60000,83(S),0( ),723200,49(1),32( )
20160913,135448058,135448058,91907000,832125.PT,832125,20160913,99999515,100,1000,66(B),0( ),728130,49(1),32( )
20160913,135448058,135448058,112023000,832143.PT,832143,20160913,99996843,10000,20000,66(B),0( ),721700,49(1),32( )
20160913,135448058,135448058,111315000,832159.PT,832159,20160913,99996915,133000,3000,66(B),0( ),726100,49(1),32( )
20160913,135448058,135448058,92220000,832160.PT,832160,20160913,99999422,380000,7000,83(S),0( ),728130,49(1),32( )
20160913,135448058,135448058,135401000,832168.PT,832168,20160913,99996043,13400,1000,66(B),0( ),721700,49(1),32( )
20160913,135448058,135448058,130000000,832177.PT,832177,20160913,99996719,90000,93000,83(S),0( ),728130,49(1),32( )
20160913,135448058,135448058,132503000,832178.PT,832178,20160913,99996365,28000,1000,83(S),0( ),728130,49(1),32( )
20160913,135448058,135448058,102946000,832183.PT,832183,20160913,99997510,20000,1000,66(B),0( ),721800,49(1),32( )
20160913,135448058,135448058,104227000,832191.PT,832191,20160913,99997301,62000,48000,83(S),0( ),721700,49(1),32( )
20160913,135448058,135448058,135404000,832196.PT,832196,20160913,99996041,30000,5000,66(B),0( ),721300,49(1),32( )
20160913,135448058,135448058,93502000,832210.PT,832210,20160913,99999037,62000,2000,83(S),0( ),720700,49(1),32( )
20160913,135448058,135448058,134102000,832225.PT,832225,20160913,99996170,75000,142000,83(S),0( ),721700,49(1),32( )
20160913,135448058,135448058,103954000,832282.PT,832282,20160913,99997347,300000,10000,83(S),0( ),723300,49(1),32( )
20160913,135448058,135448058,133112000,832292.PT,832292,20160913,99996297,25000,5000,66(B),0( ),722900,49(1),32( )
20160913,135448058,135448058,101547000,832300.PT,832300,20160913,99997730,45000,100000,83(S),0( ),722700,49(1),32( )
20160913,135448058,135448058,102607000,832305.PT,832305,20160913,99997572,61300,50000,83(S),0( ),722700,49(1),32( )
20160913,135448058,135448058,130000000,832310.PT,832310,20160913,99996698,200000,2000,83(S),0( ),723200,49(1),32( )
20160913,135448058,135448058,95214000,832314.PT,832314,20160913,99998325,40000,50000,83(S),0( ),726800,49(1),32( )
20160913,135448058,135448058,132701000,832334.PT,832334,20160913,99996344,10000000,50000,83(S),0( ),723500,49(1),32( )
20160913,135448058,135448058,104744000,832336.PT,832336,20160913,99997243,19200,1000,83(S),0( ),721200,49(1),32( )
20160913,135448058,135448058,103317000,832344.PT,832344,20160913,99997435,220000,749000,83(S),0( ),721800,49(1),32( )
20160913,135448058,135448058,94736000,832346.PT,832346,20160913,99998490,20000,7000,83(S),0( ),721800,49(1),32( )
20160913,135448058,135448058,104257000,832358.PT,832358,20160913,99997294,59000,20000,83(S),0( ),723800,49(1),32( )
20160913,135448058,135448058,134840000,832373.PT,832373,20160913,99996107,38000,1000,66(B),0( ),723200,49(1),32( )
20160913,135448058,135448058,94640000,832382.PT,832382,20160913,99998532,60000,1000,83(S),0( ),721800,49(1),32( )
20160913,135448058,135448058,101015000,832389.PT,832389,20160913,99997841,48000,2000,66(B),0( ),721000,49(1),32( )
20160913,135448058,135448058,111950000,832391.PT,832391,20160913,99996846,189900,10000,83(S),0( ),723700,49(1),32( )
20160913,135448058,135448058,101746000,832398.PT,832398,20160913,99997706,40000,15200,83(S),0( ),722900,49(1),32( )
20160913,135448058,135448058,105626000,832407.PT,832407,20160913,99997136,131800,10000,83(S),0( ),724800,49(1),32( )
20160913,135448058,135448058,102846000,832409.PT,832409,20160913,99997532,148000,1000,83(S),0( ),724200,49(1),32( )
20160913,135448058,135448058,132549000,832413.PT,832413,20160913,99996355,10500,2000,83(S),0( ),727300,49(1),32( )
20160913,135448058,135448058,92233000,832431.PT,832431,20160913,99999412,93000,3000,83(S),0( ),723000,49(1),32( )
20160913,135448058,135448058,110026000,832445.PT,832445,20160913,99997066,180000,13000,83(S),0( ),727200,49(1),32( )
20160913,135448058,135448058,130744000,832452.PT,832452,20160913,99996563,65000,1000,83(S),0( ),723000,49(1),32( )
20160913,135448058,135448058,110144000,832457.PT,832457,20160913,99997049,20000,56000,83(S),0( ),721300,49(1),32( )
20160913,135448058,135448058,132609000,832459.PT,832459,20160913,99996351,19000,5000,83(S),0( ),728130,49(1),32( )
20160913,135448058,135448058,134029000,832468.PT,832468,20160913,99996180,85000,36000,83(S),0( ),721700,49(1),32( )
20160913,135448058,135448058,134833000,832469.PT,832469,20160913,99996108,80000,1000,83(S),0( ),720300,49(1),32( )
